row col colors level time
2 2 2 1 0.08
2 2 3 1 0.0208
2 2 4 1 0.060208
2 2 5 1 0.020602080000000002
2 3 2 1 0.0402060208
2 3 3 1 0.040402060207999996
2 3 4 1 0.030404020602079997
2 3 5 1 0.0103040402060208
2 4 2 1 0.010103040402060209
2 4 3 1 0.020101030404020604
2 4 4 1 0.020201010304040205
2 4 5 1 0.010202010103040402
2 5 2 1 0.030102020101030406
2 5 3 1 0.030301020201010304
2 5 4 1 0.020303010202010103
2 5 5 1 0.0202030301020201
2 6 2 1 0.0202020303010202
2 6 3 1 0.0402020203030102
2 6 4 1 0.040402020203030097
2 6 5 1 0.0204040202020303
2 7 2 1 0.030204040202020305
2 7 3 1 0.020302040402020202
2 7 4 1 0.040203020404020205
2 7 5 1 0.0304020302040402
2 8 2 1 0.050304020302040404
2 8 3 1 0.0405030402030204
2 8 4 1 0.04040503040203021
2 8 5 1 0.0304040503040203
2 9 2 1 0.0603040405030402
2 9 3 1 0.0606030404050304
2 9 4 1 0.04060603040405031
2 9 5 1 0.050406060304040504
2 10 2 1 0.050504060603040406
2 10 3 1 0.07050504060603041
2 10 4 1 0.0707050504060603
2 10 5 1 0.0607070505040606
2 11 2 1 0.0706070705050406
2 11 3 1 0.1007060707050504
2 11 4 1 0.0610070607070505
2 11 5 1 0.0706100706070705
2 12 2 1 0.07070610070607071
2 12 3 1 0.0907070610070607
2 12 4 1 0.0809070706100706
2 12 5 1 0.07080907070610071
2 13 2 1 0.08070809070706102
2 13 3 1 0.11080708090707062
2 13 4 1 0.10110807080907071
2 13 5 1 0.0910110807080907
2 14 2 1 0.0909101108070809
2 14 3 1 0.1209091011080708
2 14 4 1 0.12120909101108071
2 14 5 1 0.09121209091011082
3 2 2 1 0.010912120909101108
3 2 3 1 0.010109121209091012
3 2 4 1 0.010101091212090909
3 2 5 1 0.010101010912120909
3 3 2 1 0.020101010109121208
3 3 3 1 0.02020101010109121
3 3 4 1 0.02020201010101091
3 3 5 1 0.01020202010101011
3 4 2 1 0.020102020201010103
3 4 3 1 0.0302010202020101
3 4 4 1 0.0203020102020201
